Error processing submodule ../../../github/meta-introspector/streamofrandom/2025: Error opening repository ../../../github/meta-introspector/streamofrandom/2025: could not find repository at '../../../github/meta-introspector/streamofrandom/2025'; class=Repository (6); code=NotFound (-3)
Error processing submodule ../../../github/meta-introspector/streamofrandom/vendor/elizaos-plugins/plugin-twitter: Error opening repository ../../../github/meta-introspector/streamofrandom/vendor/elizaos-plugins/plugin-twitter: could not find repository at '../../../github/meta-introspector/streamofrandom/vendor/elizaos-plugins/plugin-twitter'; class=Repository (6); code=NotFound (-3)
Error processing submodule ../../../github/meta-introspector/streamofrandom/vendor/livestream-tiktok-plugin: Error opening repository ../../../github/meta-introspector/streamofrandom/vendor/livestream-tiktok-plugin: could not find repository at '../../../github/meta-introspector/streamofrandom/vendor/livestream-tiktok-plugin'; class=Repository (6); code=NotFound (-3)
Error processing submodule ../../../github/meta-introspector/streamofrandom/vendor/twitter-plugin: Error opening repository ../../../github/meta-introspector/streamofrandom/vendor/twitter-plugin: could not find repository at '../../../github/meta-introspector/streamofrandom/vendor/twitter-plugin'; class=Repository (6); code=NotFound (-3)
Error processing submodule ../../../github/meta-introspector/minizinc-introspector/vendor/libjq/vendor/oniguruma: Error opening repository ../../../github/meta-introspector/minizinc-introspector/vendor/libjq/vendor/oniguruma: could not find repository at '../../../github/meta-introspector/minizinc-introspector/vendor/libjq/vendor/oniguruma'; class=Repository (6); code=NotFound (-3)
Error processing submodule ../../../github/meta-introspector/minizinc-introspector/vendor/rust-code-analysis/tests/repositories/DeepSpeech: Error opening repository ../../../github/meta-introspector/minizinc-introspector/vendor/rust-code-analysis/tests/repositories/DeepSpeech: could not find repository at '../../../github/meta-introspector/minizinc-introspector/vendor/rust-code-analysis/tests/repositories/DeepSpeech'; class=Repository (6); code=NotFound (-3)
Error processing submodule ../../../github/meta-introspector/minizinc-introspector/vendor/rust-code-analysis/tests/repositories/pdf.js: Error opening repository ../../../github/meta-introspector/minizinc-introspector/vendor/rust-code-analysis/tests/repositories/pdf.js: could not find repository at '../../../github/meta-introspector/minizinc-introspector/vendor/rust-code-analysis/tests/repositories/pdf.js'; class=Repository (6); code=NotFound (-3)
Error processing submodule ../../../github/meta-introspector/minizinc-introspector/vendor/rust-code-analysis/tests/repositories/rca-output: Error opening repository ../../../github/meta-introspector/minizinc-introspector/vendor/rust-code-analysis/tests/repositories/rca-output: could not find repository at '../../../github/meta-introspector/minizinc-introspector/vendor/rust-code-analysis/tests/repositories/rca-output'; class=Repository (6); code=NotFound (-3)
Error processing submodule ../../../github/meta-introspector/minizinc-introspector/vendor/rust-code-analysis/tests/repositories/serde: Error opening repository ../../../github/meta-introspector/minizinc-introspector/vendor/rust-code-analysis/tests/repositories/serde: could not find repository at '../../../github/meta-introspector/minizinc-introspector/vendor/rust-code-analysis/tests/repositories/serde'; class=Repository (6); code=NotFound (-3)
Error processing submodule ../../../github/meta-introspector/minizinc-introspector/vendor/libjq/vendor/oniguruma: Error opening repository ../../../github/meta-introspector/minizinc-introspector/vendor/libjq/vendor/oniguruma: could not find repository at '../../../github/meta-introspector/minizinc-introspector/vendor/libjq/vendor/oniguruma'; class=Repository (6); code=NotFound (-3)
Error processing submodule ../../../github/meta-introspector/minizinc-introspector/vendor/rust-code-analysis/tests/repositories/DeepSpeech: Error opening repository ../../../github/meta-introspector/minizinc-introspector/vendor/rust-code-analysis/tests/repositories/DeepSpeech: could not find repository at '../../../github/meta-introspector/minizinc-introspector/vendor/rust-code-analysis/tests/repositories/DeepSpeech'; class=Repository (6); code=NotFound (-3)
Error processing submodule ../../../github/meta-introspector/minizinc-introspector/vendor/rust-code-analysis/tests/repositories/pdf.js: Error opening repository ../../../github/meta-introspector/minizinc-introspector/vendor/rust-code-analysis/tests/repositories/pdf.js: could not find repository at '../../../github/meta-introspector/minizinc-introspector/vendor/rust-code-analysis/tests/repositories/pdf.js'; class=Repository (6); code=NotFound (-3)
Error processing submodule ../../../github/meta-introspector/minizinc-introspector/vendor/rust-code-analysis/tests/repositories/rca-output: Error opening repository ../../../github/meta-introspector/minizinc-introspector/vendor/rust-code-analysis/tests/repositories/rca-output: could not find repository at '../../../github/meta-introspector/minizinc-introspector/vendor/rust-code-analysis/tests/repositories/rca-output'; class=Repository (6); code=NotFound (-3)
Error processing submodule ../../../github/meta-introspector/minizinc-introspector/vendor/rust-code-analysis/tests/repositories/serde: Error opening repository ../../../github/meta-introspector/minizinc-introspector/vendor/rust-code-analysis/tests/repositories/serde: could not find repository at '../../../github/meta-introspector/minizinc-introspector/vendor/rust-code-analysis/tests/repositories/serde'; class=Repository (6); code=NotFound (-3)
